"","Région","Valeur","deg","hasc"
"180","El Kabaria",2300,"Sakiet Eddaier","TN.TU.KA"
"181","Tebourba",2213,"Skhira","TN.MN.TE"
"182","Degach",2181,"Sfax Medina","TN.TO.DE"
"183","El Ksour",2178,"Sfax Ouest","TN.KF.KU"
"184","Kalâat Snan",2176,"Sfax Sud",NA
"185","Kef Ouest",2170,"Sakiet Ezzit","TN.KF.KO"
"186","Siliana Nord",2070,"Thina","TN.SL.SN"
"187","Gafsa Nord",2031,"Bargou","TN.GF.GN"
"188","Douz Sud",2026,"Bouarada","TN.KB.DS"
"189","Meknassy",2023,"Bourouis","TN.SZ.ME"
"190","Kesra",2003,"El Krib","TN.SL.KI"
"191","Bargou",1990,"Gaafour","TN.SL.BA"
"192","Borj Amri",1961,"Kesra","TN.MN.BA"
"193","Sidi Bou Ali",1951,"Laroussa","TN.SS.SB"
"194","Menzel Djemil",1944,"Makthar","TN.BZ.MJ"
"195","El Alia",1943,"Rouhia","TN.BZ.AL"
"196","Hebira",1911,"Siliana Nord","TN.MH.HB"
"197","Hidra",1873,"Siliana Sud","TN.KS.HI"
"198","EL Guetar",1870,NA,"TN.GF.GU"
"199","Bourouis",1849,"Akouda","TN.SL.BR"
"200","Hammam El Guezaz",1836,"Bouficha","TN.NB.HG"
"201","El Aroussa",1825,"Enfidha","TN.SL.LA"
"202","Kalaâ Seghira",1785,"Hergla",NA
"203","Bekalta",1758,"Hammam Sousse","TN.MS.BK"
"204","Ghar El Meleh",1705,"Kalaa Kebira","TN.BZ.GM"
"205","El Omrane Supérieur",1626,"Kondar",NA
"206","Hammam Sousse",1621,"Kalaa Sghira","TN.SS.HS"
"207","Bir Lahmar",1595,"M'Saken","TN.TA.BL"
"208","Tozeur",1580,"Sidi Bou Ali","TN.TO.TO"
"209","Sidi Aïch",1556,"Sidi El Heni",NA
"210","Sayada-Lamta Bou-Hjar",1555,"Sousse Jaouhara","TN.MS.SL"
"211","Teboulba",1541,"Sousse Medina","TN.MS.TE"
"212","Redeyef",1478,"Sousse Riadh","TN.GF.RE"
"213","Djedeliane",1476,"Sousse Sidi Abdelhamid",NA
"214","Mohamedia",1474,"Bir El Hfay","TN.BA.MH"
"215","Bou Arada",1470,"Jelma","TN.SL.BD"
"216","Mannouba",1466,"Mazzouna","TN.MN.MA"
"217","Kondar",1445,"Menzel Bouzaiene","TN.SS.KO"
"218","Tinja",1422,"Meknassi","TN.BZ.TI"
"219","Sousse Sidi Abdelhamid",1418,"Ouled Haffouz","TN.SS.SS"
"220","Gabes Ouest",1402,"Regueb","TN.GB.GO"
"221","Douz Nord",1367,"Sabalat Ouled Asker","TN.KB.DN"
"222","Gaâfour",1356,"Sidi Ali Ben Aoun",NA
"223","El Ksar",1315,"Sidi Bouzid Est","TN.GF.KS"
"224","Hammam Chôtt",1259,"Souk Jedid",NA
"225","Matmata",1185,"Sidi Bouzid Ouest","TN.GB.MT"
"226","Le Bardo",1184,"Bir Lahmar","TN.TU.LB"
"227","Carthage",1165,"Dhiba","TN.TU.CA"
"228","Remada",1034,"Ghomrassen","TN.TA.RE"
"229","Bab El Bhar",1013,"Remada","TN.TU.BB"
"230","Cité El Khadhra",950,"Samar",NA
"231","Gabes Medina",905,"Tataouine Nord","TN.GB.GV"
"232","Kalaât El Andalous",902,"Tataouine Sud",NA
"233","Ouerdanine",901,"Degueche","TN.MS.OU"
"234","El Omrane",878,"Hazoua","TN.TU.OM"
"235","Djerissa",848,"Nefta","TN.KF.JE"
"236","Kalâat Khasbah",834,"Tamaghza",NA
"237","Hergla",801,"Tozeur","TN.SS.HE"
"238","Cité Ettadhamen",765,"Bab Bhar",NA
"239","Ezzouhour",755,"Bab Souika","TN.KS.EZ"
"240","Bembla",729,"Carthage","TN.MS.BM"
"241","Bab Souika",652,"Hrairia","TN.TU.BS"
"242","Sousse Medina",632,"Jebel Jelloud","TN.SS.SM"
"243","Hammam Lif",629,"Kabaria","TN.BA.HL"
"244","Ghanouch",611,"Cite El Khadra","TN.GB.GA"
"245","Ksibet El Mediouni",579,"Bardo","TN.MS.KM"
"246","Tameghza",526,"La Goulette","TN.TO.TA"
"247","La Medina",373,"Le Kram","TN.TU.MD"
"248","Ettahrir",307,"La Marsa","TN.TU.TA"
"249","El Ouardia",280,"Medina","TN.TU.OU"
"250","Sousse Riadh",254,"El Menzah","TN.SS.SR"
"251","Megrine",240,"Omrane","TN.BA.ME"
"252","Zarzouna",237,"Omrane Superieur","TN.BZ.JA"
"253","Mdhila",230,"El Ouardia","TN.GF.MD"
"254","Sijoumi",168,"Sidi El Bechir","TN.TU.SI"
"255","Sahline",156,"Sidi Hassine","TN.MS.SA"
"256","Nefta",154,"Sijoumi","TN.TO.NA"
"257","Djebel Djelloud",93,"El Tahrir","TN.TU.JJ"
"258","Ezzouhour",17,"Bir Mchergua","TN.KS.EZ"
"259","Hazoua",15,"Fahs","TN.TO.HA"
"260","Ezzahra",15,"Nadhour","TN.BA.EZ"
"261","Dhehiba",13,"Saouaf","TN.TA.DH"
"262","Sidi El Béchir",1,"Zaghouan",NA
"263","Ben Arous",0,"Zriba","TN.BA.BA"
