NArab1,HASC_2a,NFr1,HASC_2b,NFr2,HASC_2c,deg
زرمدين,TN.MS.ZA,Zeramdine,TN.MS.ZA,Zeramdine,TN.MS.ZA,Zermadine
بوعرقوب,TN.NB.BA,Bou Argoub,TN.NB.BA,Bou Argoub,TN.NB.BA,Bou Argoub
بني خلاد,TN.NB.BD,Beni Khalled,TN.NB.BD,Beni Khalled,TN.NB.BD,Beni Khalled
بني خيار,TN.NB.BR,Beni Khiar,TN.NB.BR,Beni Khiar,TN.NB.BR,Beni khiar
دار شعبان الفهري,TN.NB.DC,Dar Chaabane El Fehri,TN.NB.DC,Dar Chaabane El Fehri,TN.NB.DC,Dar Ch�abane El Fehri
قرمبالية,TN.NB.GR,Grombalia,TN.NB.GR,Grombalia,TN.NB.GR,Grombalia
حمام الأغزاز,TN.NB.HG,Hammam Ghezaz,TN.NB.HG,Hammam Ghezaz,TN.NB.HG,Hammam El Guezaz
الحمامات,TN.NB.HM,Hammamet,TN.NB.HM,Hammamet,TN.NB.HM,Hammamet
الهوارية,TN.NB.HR,Haouaria,TN.NB.HR,Haouaria,TN.NB.HR,El Haouaria
قليبية,TN.NB.KE,Kelibia,TN.NB.KE,Kelibia,TN.NB.KE,Kelibia
قربة,TN.NB.KO,Korba,TN.NB.KO,Korba,TN.NB.KO,Korba
منزل بوزلفة,TN.NB.MB,Menzel Bouzelfa,TN.NB.MB,Menzel Bouzelfa,TN.NB.MB,Menzel Bouzelfa
الميدة,TN.NB.MI,El Mida,TN.NB.MI,El Mida,TN.NB.MI,El Mida
منزل تميم,TN.NB.MT,Menzel Temime,TN.NB.MT,Menzel Temime,TN.NB.MT,Menzel Temime
نابل,TN.NB.NA,Nabeul,TN.NB.NA,Nabeul,TN.NB.NA,Nabeul
سليمان,TN.NB.SO,Soliman,TN.NB.SO,Soliman,TN.NB.SO,Soliman
تاكلسة,TN.NB.TA,Takelsa,TN.NB.TA,Takelsa,TN.NB.TA,Takelsa
عقارب,TN.SF.AG,Agareb,TN.SF.AG,Agareb,TN.SF.AG,Agareb
العامرة,TN.SF.AM,El Amra,TN.SF.AM,El Amra,TN.SF.AM,El Amra
بئر علي بن خليفة,TN.SF.BA,Bir Ali Ben Khelifa,TN.SF.BA,Bir Ali Ben Khelifa,TN.SF.BA,Bir ali Ben Kelifa
جبنيانة,TN.SF.DJ,Jebeniana,TN.SF.DJ,Jebeniana,TN.SF.DJ,Djebeniana
الغريبة,TN.SF.GH,El Ghraiba,TN.SF.GH,El Ghraiba,TN.SF.GH,Ghraiba
الحنشة,TN.SF.HA,Hencha,TN.SF.HA,Hencha,TN.SF.HA,El Hencha
قرقنة,TN.SF.KE,Kerkennah,TN.SF.KE,Kerkennah,TN.SF.KE,Kerkenah
المحرس,TN.SF.MA,Mahres,TN.SF.MA,Mahres,TN.SF.MA,Mahres
منزل شاكر,TN.SF.MC,Menzel Chaker,TN.SF.MC,Menzel Chaker,TN.SF.MC,Menzel Chaker
ساقية الدائر,TN.SF.SD,Sakiet Eddaier,TN.SF.SD,Sakiet Eddaier,TN.SF.SD,Sakiet Edda�er
الصخيرة,TN.SF.SK,Skhira,TN.SF.SK,Skhira,TN.SF.SK,Skhira
صفاقس المدينة,TN.SF.SM,Sfax Medina,TN.SF.SM,Sfax Medina,TN.SF.SM,Sfax Ville
صفاقس الغريبة,TN.SF.SO,Sfax Ouest,TN.SF.SO,Sfax Ouest,TN.SF.SO,Sfax Ouest
صفاقس الجنوبية,TN.SF.SS,Sfax Sud,TN.SF.SS,Sfax Sud,TN.SF.SS,Sfax Sud
ساقية الزيت,TN.SF.SZ,Sakiet Ezzit,TN.SF.SZ,Sakiet Ezzit,TN.SF.SZ,Sakiet Ezzit
طينة,TN.SF.TH,Thina,TN.SF.TH,,,Tina
برقو,TN.SL.BA,Bargou,TN.SL.BA,Bargou,TN.SL.BA,Bargou
بوعرادة,TN.SL.BD,Bouarada,TN.SL.BD,Bouarada,TN.SL.BD,Bou Arada
بورويس,TN.SL.BR,Bourouis,TN.SL.BR,Bourouis,TN.SL.BR,Bourouis
الكريب,TN.SL.EL,El Krib,TN.SL.EL,El Krib,TN.SL.EL,El  Krib
قعفور,TN.SL.GA,Gaafour,TN.SL.GA,Gaafour,TN.SL.GA,Ga�four
كسرى,TN.SL.KI,Kesra,TN.SL.KI,Kesra,TN.SL.KI,Kesra
العروسة,TN.SL.LA,Laroussa,TN.SL.LA,Laroussa,TN.SL.LA,El Aroussa
مكثر,TN.SL.MA,Makthar,TN.SL.MA,Makthar,TN.SL.MA,Makthar
الروحية,TN.SL.RO,Rouhia,TN.SL.RO,Rouhia,TN.SL.RO,Er-Rouhia
سليانة الشمالية,TN.SL.SN,Siliana Nord,TN.SL.SN,Siliana Nord,TN.SL.SN,Siliana Nord
سليانة الجنوبية,TN.SL.SS,Siliana Sud,TN.SL.SS,Siliana Sud,TN.SL.SS,Siliana Sud
الزاوية - القصيبة - الثريات,TN.SS.,,,,,NA
اكودة,TN.SS.AK,Akouda,TN.SS.AK,Akouda,TN.SS.AK,Akouda
بوفيشة,TN.SS.BO,Bouficha,TN.SS.BO,Bouficha,TN.SS.BO,Bouficha
النفيضة,TN.SS.EN,Enfidha,TN.SS.EN,Enfidha,TN.SS.EN,Enfidha
هرقلة,TN.SS.HE,Hergla,TN.SS.HE,Hergla,TN.SS.HE,Hergla
حمام سوسة,TN.SS.HS,Hammam Sousse,TN.SS.HS,Hammam Sousse,TN.SS.HS,Hammam Sousse
القلعة الكبرى,TN.SS.KK,Kalaa Kebira,TN.SS.KK,Kalaa Kebira,TN.SS.KK,Kala� Seghira
كندار,TN.SS.KO,Kondar,TN.SS.KO,Kondar,TN.SS.KO,Kondar
القلعة الصغرى,TN.SS.KS,Kalaa Sghira,TN.SS.KS,Kalaa Sghira,TN.SS.KS,Kala� Kebira
مساكن,TN.SS.MS,M'Saken,TN.SS.MS,M'Saken,TN.SS.MS,M'saken
سيدي بوعلي,TN.SS.SB,Sidi Bou Ali,TN.SS.SB,Sidi Bou Ali,TN.SS.SB,Sidi Bou Ali
سيدي الهاني,TN.SS.SH,Sidi El Heni,TN.SS.SH,Sidi El Heni,TN.SS.SH,Sidi El H�ni
سوسة جوهرة,TN.SS.SJ,Sousse Jaouhara,TN.SS.SJ,Sousse Jaouhara,TN.SS.SJ,Sousse Jawhara
سوسة المدينة,TN.SS.SM,Sousse Medina,TN.SS.SM,Sousse Medina,TN.SS.SM,Sousse Medina
سوسة الرياض,TN.SS.SR,Sousse Riadh,TN.SS.SR,Sousse Riadh,TN.SS.SR,Sousse Riadh
سوسة سيدي عبد الحميد,TN.SS.SS,Sousse Sidi Abdelhamid,TN.SS.SS,Sousse Sidi Abdelhamid,TN.SS.SS,Sousse Sidi Abdelhamid
بئر الحفي,TN.SZ.BH,Bir El Hfay,TN.SZ.BH,Bir El Hfay,TN.SZ.BH,Bir El Hafey
جلمة,TN.SZ.JI,Jelma,TN.SZ.JI,Jelma,TN.SZ.JI,Jilma
المزونة,TN.SZ.MA,Mazzouna,TN.SZ.MA,Mazzouna,TN.SZ.MA,Mezzouna
منزل بوزيان,TN.SZ.MB,Menzel Bouzaiene,TN.SZ.MB,Menzel Bouzaiene,TN.SZ.MB,Menzel Bouza�enne
المكناسي,TN.SZ.ME,Meknassi,TN.SZ.ME,Meknassi,TN.SZ.ME,Meknassy
أولاد حفوز,TN.SZ.OH,Ouled Haffouz,TN.SZ.OH,Ouled Haffouz,TN.SZ.OH,Ouled Haffouz
الرقاب,TN.SZ.RE,Regueb,TN.SZ.RE,Regueb,TN.SZ.RE,Regueb
سبالة أولاد عسكر,TN.SZ.SA,Sabalat Ouled Asker,TN.SZ.SA,Sabalat Ouled Asker,TN.SZ.SA,Cebalet Ouled Asker
سيدي علي بن عون,TN.SZ.SB,Sidi Ali Ben Aoun,TN.SZ.SB,Sidi Ali Ben Aoun,TN.SZ.SB,Sidi Ali Ben Ao�n
سيدي بوزيد الشرقية,TN.SZ.SE,Sidi Bouzid Est,TN.SZ.SE,Sidi Bouzid Est,TN.SZ.SE,Sidi Bouzid Est
سوق الجديد,TN.SZ.SJ,Souk Jedid,TN.SZ.SJ,Souk Jedid,TN.SZ.SJ,Souk Jedid
سيدي بوزيد الغربية,TN.SZ.SO,Sidi Bouzid Ouest,TN.SZ.SO,Sidi Bouzid Ouest,TN.SZ.SO,Sidi Bouzid Ouest
بئر الأحمر,TN.TA.BL,Bir Lahmar,TN.TA.BL,Bir Lahmar,TN.TA.BL,Bir Lahmar
ذهيبة,TN.TA.DH,Dhiba,TN.TA.DH,Dhiba,TN.TA.DH,Dhehiba
غمراسن,TN.TA.GH,Ghomrassen,TN.TA.GH,Ghomrassen,TN.TA.GH,Ghomrassen
رمادة,TN.TA.RE,Remada,TN.TA.RE,Remada,TN.TA.RE,Remada
الصمار,TN.TA.SA,Samar,TN.TA.SA,Samar,TN.TA.SA,Sm�r
تطاوين الشمالية,TN.TA.TN,Tataouine Nord,TN.TA.TN,Tataouine Nord,TN.TA.TN,Tataouine Nord
تطاوين الجنوبية,TN.TA.TS,Tataouine Sud,TN.TA.TS,Tataouine Sud,TN.TA.TS,Tataouine Sud
دقاش,TN.TO.DE,Degueche,TN.TO.DE,Degueche,TN.TO.DE,Degach
حزوة,TN.TO.HA,Hazoua,TN.TO.HA,Hazoua,TN.TO.HA,Hazoua
نفطة,TN.TO.NA,Nefta,TN.TO.NA,Nefta,TN.TO.NA,Nefta
تمغزة,TN.TO.TA,Tamaghza,TN.TO.TA,Tamaghza,TN.TO.TA,Tameghza
توزر,TN.TO.TO,Tozeur,TN.TO.TO,Tozeur,TN.TO.TO,Tozeur
باب البحر,TN.TU.BB,Bab Bhar,TN.TU.BB,Bab Bhar,TN.TU.BB,Bab El Bhar
باب سويقة,TN.TU.BS,Bab Souika,TN.TU.BS,Bab Souika,TN.TU.BS,Bab Souika
قرطاج,TN.TU.CA,Carthage,TN.TU.CA,Carthage,TN.TU.CA,Carthage
الحرائرية,TN.TU.HA,Hrairia,TN.TU.HA,Hrairia,TN.TU.HA,El Hrairia
جبل الجلود,TN.TU.JJ,Jebel Jelloud,TN.TU.JJ,Jebel Jelloud,TN.TU.JJ,Djebel Djelloud
الكبارية,TN.TU.KA,Kabaria,TN.TU.KA,Kabaria,TN.TU.KA,El Kabaria
حي الخضراء,TN.TU.KH,Cite El Khadra,TN.TU.KH,Cite El Khadra,TN.TU.KH,Cit� El Khadhra
باردو,TN.TU.LB,Bardo,TN.TU.LB,Bardo,TN.TU.LB,Le Bardo
حلق الوادي,TN.TU.LG,La Goulette,TN.TU.LG,La Goulette,TN.TU.LG,La Goulette
الكرم,TN.TU.LK,Le Kram,TN.TU.LK,,,Le Kram
المرسى,TN.TU.LM,La Marsa,TN.TU.LM,La Marsa,TN.TU.LM,La Marsa
المدينة,TN.TU.MD,Medina,TN.TU.MD,Medina,TN.TU.MD,La Medina
المنزه,TN.TU.MZ,El Menzah,TN.TU.MZ,El Menzah,TN.TU.MZ,El Menzah
العمران,TN.TU.OM,Omrane,TN.TU.OM,Omrane,TN.TU.OM,El Omrane
العمران الاعلى,TN.TU.OS,Omrane Superieur,TN.TU.OS,Omrane Superieur,TN.TU.OS,El Omrane Sup�rieur
الوردية,TN.TU.OU,El Ouardia,TN.TU.OU,El Ouardia,TN.TU.OU,El Ouardia
سيدي البشير,TN.TU.SB,Sidi El Bechir,TN.TU.SB,Sidi El Bechir,TN.TU.SB,Sidi El B�chir
سيدي حسين,TN.TU.SH,Sidi Hassine,TN.TU.SH,Sidi Hassine,TN.TU.SH,Sidi Hassine
السيجومي,TN.TU.SI,Sijoumi,TN.TU.SI,Sijoumi,TN.TU.SI,Sijoumi
التحرير,TN.TU.TA,El Tahrir,TN.TU.TA,El Tahrir,TN.TU.TA,Ettahrir
بئر مشارقة,TN.ZA.BM,Bir Mchergua,TN.ZA.BM,Bir Mchergua,TN.ZA.BM,Bir Mchergua
الفحص,TN.ZA.FA,Fahs,TN.ZA.FA,Fahs,TN.ZA.FA,El Fahs
الناظور,TN.ZA.NA,Nadhour,TN.ZA.NA,Nadhour,TN.ZA.NA,En-Nadhour
صواف,TN.ZA.SA,Saouaf,TN.ZA.SA,Saouaf,TN.ZA.SA,Saouaf
زغوان,TN.ZA.ZA,Zaghouan,TN.ZA.ZA,Zaghouan,TN.ZA.ZA,Zaghouan
الزريبة,TN.ZA.ZR,Zriba,TN.ZA.ZR,Zriba,TN.ZA.ZR,Ez-Zeriba
